description,number,class
"Ammonium nitrate fertilizers; uniform non-segregating mixtures of ammonium nitrate with added matter which is inorganic and chemically inert towards ammonium nitrate, with not less than 90 percent ammonium nitrate and not more than 0.2 percent combustible",2067,5.1
"Ammonium nitrate fertilizers: uniform non-segregating mixtures of nitrogen/phosphate or nitrogen/potash types or complete fertilizers of nitrogen/phosphate/potash type, with not more than 70 percent ammonium nitrate and not more than 0.4 percent total add",2071,9
"Ammonia solution, relative density less than 0.880 at 15° C in water, with more than 35 percent but not more than 50 percent ammonia",2073,
"Acrylamide, Solid",2074,6.1
"Chloral, anhydrous, inhibited",2075,6.1
Cresols,2076,6.1
alpha-Naphthylamine,2077,6.1
Toluene diisocyanate,2078,6.1
Diethylenetriamine,2079,8
"Hydrogen chloride, refrigerated liquid",2186,2
"Carbon dioxide, refrigerated liquid",2187,2
Arsine,2188,2
Dichlorosilane,2189,2
"Oxygen difluoride, compressed",2190,2
Sulfuryl fluoride,2191,2
Germane,2192,2
"Hexafluoroethane, compressed or Refrigerant gas R 116",2193,2
Selenium hexafluoride,2194,2
Tellurium hexafluoride,2195,2
Tungsten hexafluoride,2196,?
"Hydrogen iodide, anhydrous",2197,2
"Phosphorus pentafluoride, compressed",2198,2
Phosphine,2199,2
"Propadiene, inhibited",2200,2
"Nitrous oxide, refrigerated liquid",2201,2
"Hydrogen selenide, anhydrous",2202,2
"Silane, compressed",2203,2
Carbonyl sulfide,2204,2
Adiponitrile,2205,6.1
"Isocyanates, toxic, n.o.s. or Isocyanate solutions, toxic, n.o.s. flashpoint more than 61° C and boiling point less than 300° C",2206,6.1
"Calcium hypochlorite mixtures, dry, with more than 10 percent but not more than 39 percent available chlorine",2208,5.1
"Formaldehyde, solutions, with not less than 25 percent formaldehyde",2209,8
Maneb or Maneb preparations with not less than 60 percent maneb,2210,4.2
"Polymeric beads, expandable, evolving flammable vapor",2211,9
"Blue asbestos (Crocidolite) or Brown asbestos (amosite, mysorite)",2212,9
Paraformaldehyde,2213,4.1
Phthalic anhydride with more than .05 percent maleic anhydride,2214,8
Maleic anhydride,2215,8
"Fish meal, stabilized or Fish scrap, stabilized",2216,9
Seed cake with not more than 1.5 percent oil and not more than 11 percent moisture,2217,4.2
"Acrylic acid, inhibited",2218,8
Allyl glycidyl ether,2219,3
Anisole,2222,3
"Matches, fusee or Benzonitrile",2224,6.1
Benzenesulfonyl chloride,2225,8
Benzotrichloride,2226,8
"n-Butyl methacrylate, inhibited",2227,3
2-Chloroethanal,2232,6.1
Chloroanisidines,2233,6.1
Chlorobenzotrifluorides,2234,3
Chlorobenzyl chlorides,2235,6.1
3-Chloro-4-methylphenyl isocyanate,2236,6.1
Chloronitroanilines,2237,6.1
Chlorotoluenes,2238,3
Chlorotoluidines liquid or Chlorotoluidines solid,2239,6.1
Chromosulfuric acid,2240,8
Cycloheptane,2241,3
Cycloheptene,2242,3
Cyclohexyl acetate,2243,3
Cyclopentanol,2244,3
Cyclopentanone,2245,3
Cyclopentene,2246,3
n-Decane,2247,3
Di-n-butylamine,2248,8
"Dichlorodimethyl ether, symmetrical",2249,6.1
Dichlorophenyl isocyanates,2250,6.1
"Bicyclo [2,2,1] hepta-2, 5-diene, inhibited or 2,5-Norbornadiene, inhibited",2251,3
"1,2-Dimethoxyethane",2252,3
"N,N-Dimethylaniline",2253,6.1
Cyclohexene,2256,3
Potassium,2257,4.3
"1,2-Propylenediamine",2258,8
Triethylenetetramine,2259,8
Tripropylamine,2260,3
Xylenols,2261,6.1
Dimethylcardamoyl chloride,2262,8
Dimethylcyclohexanes,2263,3
Dimethylcyclohexlamine,2264,8
"N,N-Dimethylformamide",2265,3
Dimethyl-N-propylamine,2266,3
Dimethyl thiophosphoryl chloride,2267,6.1
"3,3'-Iminodipropylamine",2269,8
"Ethylamine, aqueous solution with not less than 50 percent but not more than 70 percent ethylamine",2270,3
Ethyl amyl ketone,2271,3
N-Ethylaniline,2272,6.1
2-Ethylaniline,2273,6.1
N-Ethyl-N-benzylaniline,2274,6.1
2-Ethylbutanol,2275,3
2-Ethylhexylamine,2276,3
Ethyl methacrylate,2277,3
n-Heptane,2278,3
Hexachlorobutadiene,2279,6.1
"Hexamethylenediamine, solid",2280,8
Hexamethylene diisocyanate,2281,6.1
Hexanols,2282,3
"Isobutyl methacrylate, inhibited",2283,3
Isobutyronitrile,2284,3
Isocyanatobenzotrifluorides,2285,6.1
Pentamethylheptane,2286,3
Isoheptenes,2287,3
Isohexenes,2288,3
Isophoronediamine,2289,8
Isophorone diisocyanate,2290,6.1
"Lead compounds, soluble, n.o.s.",2291,6.1
4-Methoxy-4-methylpentan-2-one,2293,3
N-Methylaniline,2294,6.1
Methyl chloroacetate,2295,6.1
Methylcyclohexane,2296,3
Methylcyclohexanone,2297,3
Methylcyclopentane,2298,3
Methyl dichloroacetate,2299,6.1
2-Methyl-5-ethylpyridine,2300,6.1
2-Methylfuran,2301,3
5-Methylhexan-2-one,2302,3
Isopropenylbenzene,2303,3
"Naphthalene, molten",2304,4.1
Nitrobenzenesulfonic acid,2305,8
Nitrobenzotrifluorides,2306,6.1
3-Nitro-4-chlorobenzotrifluoride,2307,6.1
Nitrosylsulfuric acid,2308,8
Octadiene,2309,3
"Pentane-2,4-dione",2310,3
Phenetidines,2311,6.1
"Phenol, molten",2312,6.1
Picolines,2313,3
"Polychlorinated biphenyls, liquid or solid",2315,9
"Sodium cuprocyanide, solid",2316,6.1
"Sodium cuprocyanide, solution",2317,6.1
"Sodium hydrosulfide, with less than 25 percent water of crystallization",2318,4.2
"Terpene hydrocarbons, n.o.s.",2319,3
Tetraethylenepentamine,2320,8
"Trichlorbenzenes, liquid",2321,6.1
Trichlorobutene,2322,6.1
Triethyl phosphite,2323,3
Triisobutylene,2324,3
"1,3,5-Trimethylbenzene",2325,3
Trimethylcyclohexylamine,2326,8
Trimethylhexamethylenediamines,2327,8
Trimethylhexamethylene diisocyanate,2328,6.1
Trimethyl phosphite,2329,3
Undecane,2330,3
"Zinc chloride, anhydrous",2331,8
Acetaldehyde oxime,2332,3
Allyl acetate,2333,3
Allylamine,2334,6.1
Allyl ethyl ether,2335,3
Allyl formate,2336,3
Phenyl mercaptan,2337,6.1
Benzotrifluoride,2338,3
2-Bromobutane,2339,3
2-Bromoethyl ethyl ether,2340,3
1-Bromo-3-methylbutane,2341,3
Bromomethylpropanes,2342,3
2-Bromopentane,2343,3
Bromopropanes or 2-Bromopropanes,2344,3
3-Bromopropyne,2345,3
Butanedione,2346,3
Butyl mercaptans,2347,3
"Butyl acrylates, inhibited",2348,3
Butyl methyl ether,2350,3
Butyl nitrites,2351,3
"Butyl vinyl ether, inhibited",2352,3
Butyryl chloride,2353,3
Chloromethyl ethyl ether,2354,3
2-Chloropropane,2356,3
Cyclohexylamine,2357,8
Cyclooctatetraene,2358,3
Diallylamine,2359,3
Diallylether,2360,3
Diisobutylamine,2361,3
"1,1-Dichloroethane",2362,3
Ethyl mercaptan,2363,3
n-Propyl benzene,2364,3
Diethyl carbonate,2366,3
alpha-Methylvaleraldehyde,2367,3
alpha-Pinene,2368,3
1-Hexene,2370,3
Isopentenes,2371,3
"1,2-Di-(dimethylamino)ethane",2372,3
Diethoxymethane,2373,3
"3,3-Diethoxypropene",2374,3
Diethyl sulfide,2375,3
"2,3-Dihydropyran",2376,3
"1,1-Dimethoxyethane",2377,3
N-Butylaniline or 2-Dimethylaminoacetonitrile,2378,3
"1,3-Dimethylbutylamine",2379,3
Dimethyldiethoxysilane,2380,3
Dimethyl disulfide,2381,3
"Dimethylhydrazine, symmetrical",2382,6.1
Dipropylamine,2383,3
Di-n-propyl ether,2384,3
Ethyl isobutyrate,2385,3
1-Ethylpiperidine,2386,3
Fluorobenzene,2387,3
Fluorotoluenes,2388,3
Furan,2389,3.1
2-Iodobutane,2390,3
Iodomethylpropanes,2391,3
Iodopropanes,2392,3
Isobutyl formate,2393,3
Isobutyl propionate,2394,3
Isobutyryl chloride,2395,3
"Methacrylaldehyde, inhibited",2396,3
3-Methylbutan-2-one,2397,3
Methyl tert-butyl ether,2398,3
1-Methylpiperidine,2399,3
Methyl isovalerate,2400,3
Piperidine,2401,8
Propanethiols,2402,3
Isopropenyl acetate,2403,3
Propionitrile,2404,3
Isopropyl butyrate,2405,3
Isopropyl isobutyrate,2406,3
Isopropyl chloroformate,2407,6.1
Isopropyl propionate,2409,3
"1,2,3,6-Tetrahydropyridine",2410,3
Butyronitrile,2411,3
Tetrahydrothiophene,2412,3
Tetrapropylorthotitanate,2413,3
Thiophene,2414,3
Trimethyl borate,2416,3
"Carbonyl fluoride, compressed",2417,2
Sulfur tetrafluoride,2418,2
Bromotrifluoroethylene,2419,2
Hexafluoroacetone,2420,2
Nitrogen trioxide,2421,2
Octafluorobut-2-ene or Refrigerant gas R 1318,2422,2
Octafluoropropane or Refrigerant gas R 218,2424,2
"Ammonium nitrate, liquid (hot concentrated solution)",2426,5.1
"Potassium chlorate, aqueous solution",2427,5.1
"Sodium chlorate, aqueous solution",2428,5.1
Calcium chlorate aqueous solution,2429,5.1
"Alkylphenols, solid, n.o.s. (including C2-C12 homologues)",2430,8
Anisidines,2431,6.1
"N,N-Diethylaniline",2432,6.1
Chloronitrotoluenes liquid or Chloronitrotoluenes solid,2433,6.1
Dibenzyldichlorosilane,2434,8
Ethylphenyldichlorosilane,2435,8
Thioacetic acid,2436,3
Methylphenyldichlorosilane,2437,8
Trimethylacetyl chloride,2438,6.1
"Sodium hydrogendifluoride, solid or Sodium hydrogendifluoride, solution",2439,8
"Stannic chloride, pentahydrate",2440,8
"Titanium trichloride, pryophoric or Titanium trichloride mixtures, pyrophoric",2441,4.2
Trichloroacetyl chloride,2442,8
Vanadium oxytrichloride,2443,8
Vanadium tetrachloride,2444,8
Lithium alkyls,2445,4.2
Nitrocresols,2446,6.1
"Phosphorus white, molten",2447,4.2
"Sulfur, molten",2448,4.1
"Nitrogen trifluoride, compressed",2451,2
"Ethylacetylene, inhibited",2452,2
Ethyl fluoride or Refrigerant gas R 161,2453,2
"Methyl fluoride, or Refrigerant gas R 41",2454,2
2-Chloropropene,2456,3
"2,3-Dimethylbutane",2457,3
Hexadienes,2458,3
2-Methyl-1-butene,2459,3
2-Methyl-2-butene,2460,3
Methylpentadienes,2461,3
Aluminum hydride,2463,4.3
Beryllium nitrate,2464,5.1
"Dichloroisocyanuric acid, dry or Dichloroisocyanuric acid salts",2465,5.1
Potassium superoxide,2466,5.1
"Trichloroisocyanuric acid, dry",2468,5.1
Zinc bromate,2469,5.1
"Phenylacetonitrile, liquid",2470,6.1
Osmium tetroxide,2471,6.1
Sodium arsanilate,2473,6.1
Thiophosgene,2474,6.1
Vanadium trichloride,2475,8
Methyl isothiocyanate,2477,6.1
"Isocyanates, flammable, toxic, n.o.s. or Isocyanate solutions, flammable, toxic, n.o.s. flashpoint less than 23° C",2478,3
Methyl isocyanate,2480,6.1
Ethyl isocyanate,2481,3
n-Propyl isocyanate,2482,6.1
Isopropyl isocyanate,2483,3
tert-Butyl isocyanate,2484,6.1
n-Butyl isocyanate,2485,6.1
Isobutyl isocyanate,2486,3
Phenyl isocyanate,2487,6.1
Cyclohexyl isocyanate,2488,6.1
Dichlorodisopropyl ether,2490,6.1
Ethanolamine or Ethanolamine solutions,2491,8
Hexamethyleneimine,2493,3
Iodine pentafluoride,2495,5.1
Propionic anhydride,2496,8
"1,2,3,6-Tetrahydrobenzaldehyde",2498,3
"Tris-(1-aziridinyl)phosphine oxide, solution",2501,6.1
Valeryl chloride,2502,8
Zirconium tetrachloride,2503,8
Tetrabromoethane,2504,6.1
Ammonium fluoride,2505,6.1
Ammonium hydrogen sulfate,2506,8
"Chloroplatinic acid, solid",2507,8
Molybdenum pentachloride,2508,8
Potassium hydrogen sulfate,2509,8
2-Chloropropionic acid,2511,8
Aminophenols (o-; m-; p-),2512,6.1
Bromoacetyl bromide,2513,8
Bromobenzene,2514,3
Bromoform,2515,6.1
Carbon tetrabromide,2516,6.1
"1-Chloro-1,1-difluoroethane or Refrigerant gas R 142b",2517,2
"1,5,9-Cyclododecatriene",2518,6.1
Cyclooctadienes,2520,3
"Diketene, inhibited",2521,6.1
2-Dimethylaminoethyl methacrylate,2522,6.1
Ethyl orthoformate,2524,3
Ethyl oxalate,2525,6.1
Furfurylamine,2526,3
"Isobutyl acrylate, inhibited",2527,3
Isobutyl isobutyrate,2528,3
Isobutyric acid,2529,3
Isobutyric anhydride,2530,3
"Methacrylic acid, inhibited",2531,8
Methyl trichloroacetate,2533,6.1
Methylchlorosilane,2534,2
4-Methylmorpholine or n-methylmorpholine,2535,3
Methyltetrahydrofuran,2536,3
Nitronaphthalene,2538,4.1
Terpinolene,2541,3
Tributylamine,2542,6.1
"Hafnium powder, dry",2545,4.2
"Titanium powder, dry",2546,4.2
Sodium superoxide,2547,5.1
Chlorine pentafluoride,2548,2
Hexafluoroacetone hydrate,2552,6.1
Methyl allyl chloride,2554,3
"Nitrocellulose with water with not less than 25 percent water, by mass",2555,4.1
"Nitrocellulose, with alcohol with not less than 25 percent alcohol, by mass, and with not more than 12.6 percent nitrogen, by dry mass",2556,4.1
"Nitrocellulose, with not more than 12.6 percent nitrogen, by dry mass, or Nitrocellulose mixture with pigment or Nitrocellulose mixture with plasticizer or Nitrocellulose mixture with pigment and plasticizer",2557,4.1
Epibromohydrin,2558,6.1
2-Methylpentan-2-ol,2560,3
3-Methyl-1-butene,2561,3
"Trichloroacetic acid, solution",2564,8
Dicyclohexylamine,2565,8
Sodium pentachlorophenate,2567,6.1
Cadmium compounds,2570,6.1
Alkylsulfuric acids,2571,8
Phenylhydrazine,2572,6.1
Thallium chlorate,2573,5.1
Tricresyl phosphate with more than 3 percent ortho isomer,2574,6.1
"Phosphorus oxybromide, molten",2576,8
Phenylacetyl chloride,2577,8
Phosphorus trioxide,2578,8
Piperazine,2579,8
"Aluminum bromide, solution",2580,8
"Aluminum chloride, solution",2581,8
"Ferric chloride, solution",2582,8
"Alkyl sulfonic acids, solid or Aryl sulfonic acids, solid with more than 5 percent free sulfuric acid",2583,8
"Alkyl sulfonic acids, liquid or Aryl sulfonic acids, liquid with more than 5 percent free sulfuric acid",2584,8
"Alkyl sulfonic acids, solid or Aryl sulfonic acids, solid with not more than 5 percent free sulfuric acid",2585,8
"Alkyl sulfonic acids, liquid or Aryl sulfonic acids, liquid with not more than 5 percent free sulfuric acid",2586,8
Benzoquinone,2587,6.1
"Pesticides, solid, toxic, n.o.s.",2588,6.1
Vinyl chloroacetate,2589,6.1
"White asbestos (chrysotile, actinolite, anthophyllite, tremolite)",2590,9
"Xenon, refrigerated liquid (cryogenic liquids)",2591,2
Chlorotrifluoromethane and trifluoromethane azeotropic mixture or Refrigerant gas R 503 with approximately 60 percent chlorotrifluoromethane,2599,2
"Carbon monoxide and hydrogen mixture, compressed",2600,2
Cyclobutane,2601,2
Dichlorodifluoromethane and difluoroethane azeotropic mixture or Refrigerant gas R 500 with approximately 74 percent dichlorodifluoromethane,2602,2
Cycloheptatriene,2603,3
Boron trifluoride diethyl etherate,2604,8
Methoxymethyl isocyanate,2605,3
Methyl orthosilicate,2606,6.1
"Acrolein dimer, stabilized",2607,3
Nitropropanes,2608,3
Triallyl borate,2609,6.1
Triallylamine,2610,3
Propylene chlorohydrin,2611,6.1
Methyl propyl ether,2612,3
Methallyl alcohol,2614,3
Ethyl propyl ether,2615,3
Triisopropyl borate,2616,3
"Methylcyclohexanols, flammable",2617,3
"Vinyltoluenes, inhibited",2618,3
Benzyldimethylamine,2619,8
Amyl butyrates,2620,3
Acetyl methyl carbinol,2621,3
Glycidaldehyde,2622,3
"Firelighters, solid with flammable liquid",2623,4.1
Magnesium silicide,2624,4.3
"Chloric acid aqueous solution, with not more than 10 percent chloric acid",2626,5.1
"Nitrites, inorganic, n.o.s.",2627,5.1
Potassium fluoroacetate,2628,6.1
Sodium fluoroacetate,2629,6.1
Selenate or Selenite,2630,6.1
Fluoroacetic acid,2642,6.1
Methyl bromoacetate,2643,6.1
Methyl iodide,2644,6.1
Phenacyl bromide,2645,6.1
Hexachlorocyclopentadiene,2646,6.1
Malononitrile,2647,6.1
"1,2-Dibromobutan-3-one",2648,6.1
"1,3-Dichloroacetone",2649,6.1
"1,1-Dichloro-1-nitroethane",2650,6.1
"4,4'-Diaminodiphenyl methane",2651,6.1
Benzyl iodide,2653,6.1
Potassium fluorosilicate,2655,6.1
Quinoline,2656,6.1
Selenium disulfide,2657,6.1
Sodium chloroacetate,2659,6.1
Nitrotoluidines (mono),2660,6.1
Hexachloroacetone,2661,6.1
Hydroquinone,2662,6.1
Dibromomethane,2664,6.1
Butyltoluenes,2667,6.1
Chloroacetonitrile,2668,6.1
"Chlorocresols, liquid or Chlorocresols, solid",2669,6.1
Cyanuric chloride,2670,8
Aminopyridines (o-; m-; p-),2671,6.1
"Ammonia solution, relative density between 0.880 and 0.957 at 15° C in water, with more than 10 percent but not more than 35 percent ammonia",2672,8
2-Amino-4-chlorophenol,2673,6.1
Sodium fluorosilicate,2674,6.1
Stibine,2676,2
Rubidium hydroxide solution,2677,8
Rubidium hydroxide,2678,8
Lithiumhydroxidlösung,2679,8
"Lithium hydroxide, monohydrate or Lithium hydroxide, solid",2680,8
Caesium hydroxide solution,2681,8
Caesium hydroxide,2682,8
Ammonium sulfide solution,2683,8
Diethylaminopropylamine,2684,3
"N,N-Diethylethylenediamine",2685,8
2-Diethylaminoethanol,2686,8
Dicyclohexylammonium nitrate,2687,4.1
1-Chloro-3-bromopropane,2688,6.1
Glycerol alpha-monochlorohydrin,2689,6.1
N-n-Butyl imidazole,2690,6.1
Phosphorus pentabromide,2691,8
Boron tribromide,2692,8
"Bisulfites, aqueous solutions, n.o.s.",2693,8
Tetrahydrophthalic anhydrides with more than 0.05 percent of maleic anhydride,2698,8
Trifluoroacetic acid,2699,8
1-Pentol,2705,8
Dimethyldioxanes,2707,3
Butyl benzenes,2709,3
Dipropyl ketone,2710,3
Acridine,2713,6.1
Zinc resinate,2714,4.1
Aluminum resinate,2715,4.1
"1,4-Butynediol",2716,6.1
"Camphor, synthetic",2717,4.1
Barium bromate,2719,5.1
Chromium nitrate,2720,5.1
Copper chlorate,2721,5.1
Lithium nitrate,2722,5.1
Magnesium chlorate,2723,5.1
Manganese nitrate,2724,5.1
Nickel nitrate,2725,5.1
Nickel nitrite,2726,5.1
Thallium nitrate,2727,6.1
Zirconium nitrate,2728,5.1
Hexachlorobenzene,2729,6.1
Nitroanisole,2730,6.1
Nitrobromobenzenes liquid or Nitrobromobenzenes solid,2732,6.1
"Amines, flammable, corrosive, n.o.s. or Polyamines, flammable, corrosive, n.o.s.",2733,3
"Amines, liquid, corrosive, flammable, n.o.s. or Polyamines, liquid, corrosive, flammable, n.o.s.",2734,8
"Amines, liquid, corrosive, n.o.s. or Polyamines, liquid, corrosive, n.o.s.",2735,8
Butyric anhydride,2739,8.1
n-Propyl chloroformate,2740,6.1
Barium hypochlorite with more than 22 percent available chlorine,2741,5.1
"Chloroformates, toxic, corrosive, flammable, n.o.s.",2742,6.1
n-Butyl chloroformate,2743,6.1
Cyclobutyl chloroformate,2744,6.1
Chloromethyl chloroformate,2745,6.1
Phenyl chloroformate,2746,6.1
tert-Butylcyclohexylchloroformate,2747,6.1
2-Ethylhexyl chloroformate,2748,6.1
Tetramethylsilane,2749,3
"1,3-Dichloropropan-2-ol",2750,6.1
Diethylthiophosphoryl chloride,2751,8
"1,2-Epoxy-3-ethoxypropane",2752,3
N-Ethylbenzyltoluidines liquid or N-Ethylbenzyltoluidines solid,2753,6.1
N-Ethyltoluidines,2754,6.1
"Carbamate pesticides, solid, toxic",2757,6.1
"Carbamate pesticides, liquid, flammable, toxic, flashpoint less than 23° C",2758,3
"Arsenical pesticides, solid, toxic",2759,6.1
"Arsenical pesticides, liquid, flammable, toxic, flashpoint less than 23° C",2760,3
"Organochlorine pesticides, solid, toxic",2761,6.1
"Organochlorine pesticides liquid, flammable, toxic, flashpoint less than 23° C",2762,3
"Triazine pesticides, solid, toxic",2763,6.1
"Triazine pesticides, liquid, flammable, toxic, flashpoint less than 23° C",2764,3
"Thiocarbamate pesticides, solid, toxic",2771,6.1
"Thiocarbamate pesticide, liquid, flammable, toxic, flashpoint less than 23° C",2772,3
"Copper based pesticides, solid, toxic",2775,6.1
"Copper based pesticides, liquid, flammable, toxic, flashpoint less than 23° C",2776,3
"Mercury based pesticides, solid, toxic",2777,6.1
"Mercury based pesticides, liquid, flammable, toxic, flashpoint less than 23° C",2778,3
"Substituted nitrophenol pesticides, solid, toxic",2779,6.1
"Substituted nitrophenol pesticides, liquid, flammable, toxic, flashpoint less than 23° C",2780,3
"Bipyridilium pesticides, solid, toxic",2781,6.1
"Bipyridilium pesticides, liquid, flammable, toxic, flashpoint less than 23° C",2782,3
"Organophosphorus pesticides, solid, toxic",2783,6.1
"Organophosphorus pesticides, liquid, flammable, toxic, flashpoint less than 23° C",2784,3
4-Thiapentanal,2785,6.1
"Organotin pesticides, solid, toxic",2786,6.1
"Organotin pesticides, liquid, flammable, toxic, flashpoint less than 23° C",2787,6.1
"Organotin compounds, liquid, n.o.s.",2788,6.1
"Acetic acid, glacial or Acetic acid solution, with more than 80 percent acid, by mass",2789,8
"Acetic acid solution, not less than 50 percent but not more than 80 percent acid, by mass or Acetic acid solution, with more than 10 percent and less than 50 percent acid, by mass",2790,8
Ferrous metal borings or Ferrous metal shavings or Ferrous metal turnings or Ferrous metal cuttings in a form liable to self-heating,2793,4.2
"Batteries, wet, filled with acid, electric storage",2794,8
"Batteries, wet, filled with alkali, electric storage",2795,8
"Battery fluid, acid or Sulfuric acid with not more than 51 percent acid",2796,8
"Battery fluid, alkali",2797,8
Phenylphosphorus Dichloride,2798,8
Phenylphosphorus Thiodichloride,2799,8
"Batteries, wet, non-spillable, electric storage",2800,8
"Dyes, liquid, corrosive, n.o.s. or Dye intermediates, liquid, corrosive, n.o.s.",2801,8
Copper chloride,2802,8
Gallium,2803,8
"Lithium hydride, fused solid",2805,4.3
Lithium nitride,2806,4.3
Mercury or Mercury contained in manufactured articles,2809,8
"Toxic, liquids, organic, n.o.s. or Toxic, liquids, organic, n.o.s. Inhalation Hazard, Packing Group I, Zone A or B",2810,6.1
"Toxic solids, organic, n.o.s.",2811,6.1
"Sodium aluminate, solid",2812,8
"Water-reactive solid, n.o.s.",2813,4.3
"Infectious Substance, affecting humans (Risk Group 2).",2814,6.2
N-Aminoethylpiperazine,2815,8
"Ammonium hydrogendiflouride, solution",2817,8
"Ammonium polysulfide, solution",2818,8
Amyl acid phosphate,2819,8
Butyric acid,2820,8
Phenol solutions,2821,6.1
2-Chloropyridine,2822,6.1
Crotonic acid liquid or Crotonic acid solid,2823,8
Ethyl chlorothioformate,2826,8
Caproic acid,2829,8
Lithium ferrosilicon,2830,4.3
"1,1,1-Trichloroethane",2831,6.1
Phosphorous acid,2834,8
Sodium aluminum hydride,2835,4.3
"Bisulfate, aqueous solution",2837,8
"Vinyl butyrate, inhibited",2838,3
Aldol,2839,6.1
Butyraldoxime,2840,3
Di-n-amylamine,2841,3
Nitroethane,2842,3
Calcium manganese silicon,2844,4.3
"Pyrophoric liquids, organic, n.o.s.",2845,4.2
"Pyrophoric solids, organic, n.o.s.",2846,4.2
3-Chloropropan-1-ol,2849,6.1
Propylene tetramer,2850,3
Boron trifluoride dihydrate,2851,8
"Dipicryl sulfide, wetted with not less than 10 percent water, by mass",2852,4.1
Magnesium fluorosilicate,2853,6.1
Ammonium fluorosilicate,2854,6.1
Zinc fluorosilicate,2855,6.1
"Fluorosilicates, n.o.s.",2856,6.1
"Refrigerating machines, containing nonflammable, nontoxic, liquefied gas or ammonia solution (UN2672)",2857,2
"Zirconium, dry, coiled wire, finished metal sheets, strip (thinner than 254 micrometres but not thinner than 18 micrometres)",2858,4.1
Ammonium metavanadate,2859,6.1
Ammonium polyvanadate,2861,6.1
"Vanadium pentoxide, nonfused form",2862,6.1
Sodium ammonium vanadate,2863,6.1
Potassium metavanadate,2864,6.1
Hydroxylamine sulfate,2865,8
Titanium trichloride mixtures,2869,8
Aluminiumborhydrid in Geräten,2870,4.2
Antimony powder,2871,6.1
Dibromochloropropane,2872,6.1
Dibutylaminoethanol,2873,6.1
Furfuryl alcohol,2874,6.1
Hexachlorophene,2875,6.1
Resorcinol,2876,6.1
Titanium sponge granules or Titanium sponge powders,2878,4.1
Selenium oxychloride,2879,8
"Calcium hypochlorite, hydrated or Calcium hypochlorite, hydrated mixtures, with not less than 5.5 percent but not more than 10 percent water",2880,5.1
"Metal catalyst, dry",2881,4.2
"Infectious substance, affecting animals",2900,6.2
Bromine chloride,2901,2
"Pesticides, liquid, toxic, n.o.s.",2902,6.1
"Pestizid, flüssig, giftig, entzündbar, nicht anders genannt, mit einem Flammpunkt von 23 °C oder darüber",2903,6.1
"Chlorophenolates, liquid or Phenolates, liquid",2904,8
"Chlorophenolates, solid or Phenolates, solid",2905,8
"Isosorbide dinitrate mixture with not less than 60 percent lactose, mannose, starch or calcium hydrogen phosphate",2907,4.1
"Radioactive material, excepted package -- empty packaging",2908,7
"Radioactive material, excepted package-articles manufactured from natural or depleted uranium or natural thorium or Radioactive material, excepted package-empty package or empty packaging or Radioactive material, excepted package-instruments or articles or Radioactive material, excepted package-limited quantity of material",2910,7
Instruments or Articles in Excepted Packages,2911,7
"Radioactive material, low specific activity, n.o.s. or Radioactive material, LSA, n.o.s.",2912,
"Radioactive material, surface contaminated object or Radioactive material, SCO",2913,7
"Radioactive material, Type A package, non special form",2915,7
"Radioactive material, fissile, n.o.s.",2918,7
"Corrosive liquids, flammable, n.o.s.",2920,8
"Corrosive solids, flammable, n.o.s.",2921,8
"Corrosive liquids, toxic, n.o.s.",2922,8
"Corrosive solids, toxic, n.o.s.",2923,8
"Flammable liquid, corrosive, n.o.s.",2924,3
"Flammable solids, corrosive, organic, n.o.s.",2925,4.1
"Flammable solids, toxic, organic, n.o.s.",2926,4.1
"Toxic liquid, corrosive, organic, n.o.s. or Toxic liquid, corrosive, organic, n.o.s. Inhalation Hazard, Packing Group I, Zone A or B",2927,6.1
"Toxic solid, corrosive, organic, n.o.s.",2928,6.1
"Toxic liquid, flammable, organic, n.o.s. or Toxic liquid, flammable, organic, n.o.s. Inhalation Hazard, Packing Group I, Zone A or B",2929,6.1
"Toxic solids, flammable, organic, n.o.s.",2930,6.1
Vanadyl sulfate,2931,6.1
Methyl 2-chloropropionate,2933,3
Isopropyl 2-chloropropionate,2934,3.3
Ethyl 2-chloropropionate,2935,3.3
Thiolactic acid,2936,6.1
alpha-Methylbenzyl alcohol,2937,6.1
9-Phosphabicyclonoanes or Cyclooctadiene phosphines,2940,4.2
Fluoroanilines,2941,6.1
2-Trifluoromethylaniline,2942,6.1
Tetrahydrofurfurylamine,2943,3.3
N-Methylbutylamine,2945,8
2-Amino-5-diethylaminopentane,2946,6.1
Isopropyl chloroacetate,2947,3.3
3-Trifluoromethylaniline,2948,6.1
"Sodium hydrosulfide, with not less than 25 percent water of crystallization",2949,8
"Magnesium granules, coated particle size not less than 149 micrometres",2950,4.3
"5-tert-Butyl-2,4,6-trinitro-m-xylene or Musk xylene",2956,4.1
Boron trifluoride dimethyl etherate,2965,4.3
Thiogylcol,2966,6.1
Sulfamic acid,2967,8
"Maneb stabilized or Maneb preparations, stabilized against self-heating",2968,4.3
Castor beans or Castor meal or Castor pomace or Castor flake,2969,9
"Radioactive material, special form, n.o.s.",2974,7
"Thorium metal, pyrophoric",2975,7
"Thorium nitrate, solid",2976,7
"Uranium hexafluoride, fissile with more than 1 percent U-235",2977,7
"Uranium hexafluoride, fissile excepted or non-fissile",2978,7
"Uranium metal, pyrophoric",2979,7
